TIME = 2019-04-07T18:58:35.000Z	 LON = -77.06404	 LAT = 38.85137	 ALT = 115.8	 SPEED = 0.1G (raw) 0.00,-0.03,0.93
TIME = 2019-04-07T18:58:36.000Z	 LON = -77.06404	 LAT = 38.85137	 ALT = 115.7	 SPEED = 0.1G (raw) 0.06,0.04,0.94
TIME = 2019-04-07T18:58:37.000Z	 LON = -77.064038333	 LAT = 38.851371667	 ALT = 115.7	 SPEED = 0.1G (raw) 0.03,0.01,0.97
TIME = 2019-04-07T18:58:38.000Z	 LON = -77.064036667	 LAT = 38.851371667	 ALT = 115.7	 SPEED = 0.1G (raw) 0.08,-0.01,0.96
TIME = 2019-04-07T18:58:39.000Z	 LON = -77.064035	 LAT = 38.851371667	 ALT = 115.7	 SPEED = 0.2G (raw) 0.02,0.00,0.96
TIME = 2019-04-07T18:58:40.000Z	 LON = -77.064033333	 LAT = 38.851373333	 ALT = 115.7	 SPEED = 0.1G (raw) 0.06,-0.02,0.94
TIME = 2019-04-07T18:58:41.000Z	 LON = -77.064031667	 LAT = 38.851373333	 ALT = 115.7	 SPEED = 0.1G (raw) 0.04,-0.01,0.97
TIME = 2019-04-07T18:58:42.000Z	 LON = -77.06403	 LAT = 38.851375	 ALT = 115.7	 SPEED = 0.1G (raw) 0.10,0.22,0.98
TIME = 2019-04-07T18:58:43.000Z	 LON = -77.06403	 LAT = 38.851375	 ALT = 115.7	 SPEED = 0.1G (raw) -0.41,0.29,0.80
TIME = 2019-04-07T18:58:44.000Z	 LON = -77.064028333	 LAT = 38.851375	 ALT = 115.7	 SPEED = 0.0G (raw) -0.54,-0.27,0.94
TIME = 2019-04-07T18:58:45.000Z	 LON = -77.064028333	 LAT = 38.851375	 ALT = 115.7	 SPEED = 0.0G (raw) -0.17,-0.18,0.92
TIME = 2019-04-07T18:58:46.000Z	 LON = -77.064028333	 LAT = 38.851375	 ALT = 115.7	 SPEED = 0.1G (raw) -0.33,-0.16,0.88
TIME = 2019-04-07T18:58:47.000Z	 LON = -77.064028333	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.0G (raw) -0.35,-0.29,0.87
TIME = 2019-04-07T18:58:48.000Z	 LON = -77.064028333	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.0G (raw) -0.32,-0.23,0.86
TIME = 2019-04-07T18:58:49.000Z	 LON = -77.064028333	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.0G (raw) -0.30,-0.45,0.76
TIME = 2019-04-07T18:58:50.000Z	 LON = -77.06403	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.1G (raw) -0.29,-0.29,0.91
TIME = 2019-04-07T18:58:51.000Z	 LON = -77.06403	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.1G (raw) -0.30,-0.25,0.86
TIME = 2019-04-07T18:58:52.000Z	 LON = -77.06403	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.0G (raw) -0.26,-0.30,0.87
TIME = 2019-04-07T18:58:53.000Z	 LON = -77.064031667	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.1G (raw) -0.30,-0.35,0.94
TIME = 2019-04-07T18:58:54.000Z	 LON = -77.064031667	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.1G (raw) -0.27,-0.28,0.88
TIME = 2019-04-07T18:58:55.000Z	 LON = -77.064031667	 LAT = 38.851375	 ALT = 115.6	 SPEED = 0.1G (raw) -0.31,-0.26,0.84
TIME = 2019-04-07T18:58:56.000Z	 LON = -77.064033333	 LAT = 38.851373333	 ALT = 115.6	 SPEED = 0.0G (raw) -0.28,-0.25,0.87
TIME = 2019-04-07T18:58:57.000Z	 LON = -77.064033333	 LAT = 38.851373333	 ALT = 115.6	 SPEED = 0.1G (raw) -0.28,-0.23,0.82
TIME = 2019-04-07T18:58:58.000Z	 LON = -77.064035	 LAT = 38.851373333	 ALT = 115.6	 SPEED = 0.1G (raw) -0.31,-0.31,0.81
TIME = 2019-04-07T18:58:59.000Z	 LON = -77.064035	 LAT = 38.851373333	 ALT = 115.6	 SPEED = 0.2G (raw) -0.28,-0.28,0.88
TIME = 2019-04-07T18:59:00.000Z	 LON = -77.064038333	 LAT = 38.851371667	 ALT = 115.6	 SPEED = 0.2G (raw) -0.25,-0.26,0.82
TIME = 2019-04-07T18:59:01.000Z	 LON = -77.06404	 LAT = 38.851371667	 ALT = 115.5	 SPEED = 0.2G (raw) -0.33,-0.23,0.86
TIME = 2019-04-07T18:59:02.000Z	 LON = -77.064041667	 LAT = 38.851371667	 ALT = 115.5	 SPEED = 0.1G (raw) -0.31,-0.22,0.82
TIME = 2019-04-07T18:59:03.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.32,-0.25,0.86
TIME = 2019-04-07T18:59:04.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.32,-0.21,0.85
TIME = 2019-04-07T18:59:05.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.30,-0.29,0.88
TIME = 2019-04-07T18:59:06.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.31,-0.22,0.84
TIME = 2019-04-07T18:59:07.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.27,-0.23,0.93
TIME = 2019-04-07T18:59:08.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.31,-0.22,0.88
TIME = 2019-04-07T18:59:09.000Z	 LON = -77.064043333	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.0G (raw) -0.30,-0.22,0.86
TIME = 2019-04-07T18:59:10.000Z	 LON = -77.064041667	 LAT = 38.85137	 ALT = 115.5	 SPEED = 0.1G (raw) -0.31,-0.23,0.85
TIME = 2019-04-07T18:59:11.000Z	 LON = -77.06404	 LAT = 38.851368333	 ALT = 115.5	 SPEED = 0.2G (raw) -0.31,-0.23,0.94
TIME = 2019-04-07T18:59:12.000Z	 LON = -77.064038333	 LAT = 38.851368333	 ALT = 115.5	 SPEED = 0.2G (raw) -0.30,-0.25,0.86
TIME = 2019-04-07T18:59:13.000Z	 LON = -77.064035	 LAT = 38.851366667	 ALT = 115.5	 SPEED = 0.3G (raw) -0.32,-0.23,0.87
